State,PrePrimaryPercent
Odisha,1.4030648852152776
Uttar Pradesh,1.6831664539451552
Andhra Pradesh,2.077726198475996
Bihar,3.006121781734404
Gujarat,3.057085419300229
Karnataka,4.8573501170955895
Telangana,4.984417939853708
Maharashtra,5.497578178505457
Rajasthan,5.964923117170015
Jharkhand,7.55278997698153
