Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,22871
CRUELTY BY HUSBAND OR RELATIVES,130668
DOWRY DEATH,5172
IMMORAL TRAFFIC(PREVENTION)ACT,934
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,57
INSULT TO THE MODESTY OF WOMEN,1554
KIDNAPPING & ABDUCTION,21773
RAPE,20787
