State,HigherSecondaryPercent
Chandigarh,44.52724392379206
Andaman and Nicobar Islands,44.226621475889694
Himachal Pradesh,40.29651919352877
Sikkim,38.82981041621269
Puducherry,38.03950025239778
Delhi,36.935186926808136
Lakshadweep,35.644114921223355
Tamil Nadu,35.142899233942245
Kerala,35.0575567925864
Goa,34.52157289297604
