Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2773
CRUELTY BY HUSBAND OR RELATIVES,6514
DOWRY DEATH,314
IMMORAL TRAFFIC(PREVENTION)ACT,3
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
INSULT TO THE MODESTY OF WOMEN,39
KIDNAPPING & ABDUCTION,875
RAPE,2058
