Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5
CRUELTY BY HUSBAND OR RELATIVES,7
DOWRY DEATH,0
IMMORAL TRAFFIC(PREVENTION)ACT,0
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
INSULT TO THE MODESTY OF WOMEN,0
KIDNAPPING & ABDUCTION,1
RAPE,7
