Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,230
CRUELTY BY HUSBAND OR RELATIVES,44
DOWRY DEATH,2
IMMORAL TRAFFIC(PREVENTION)ACT,9
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
INSULT TO THE MODESTY OF WOMEN,14
KIDNAPPING & ABDUCTION,62
RAPE,195
