Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19165
CRUELTY BY HUSBAND OR RELATIVES,9573
DOWRY DEATH,1142
IMMORAL TRAFFIC(PREVENTION)ACT,118
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,3
INSULT TO THE MODESTY OF WOMEN,1725
KIDNAPPING & ABDUCTION,2630
RAPE,11838
