Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5323
CRUELTY BY HUSBAND OR RELATIVES,27112
DOWRY DEATH,3130
IMMORAL TRAFFIC(PREVENTION)ACT,780
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2
INSULT TO THE MODESTY OF WOMEN,8188
KIDNAPPING & ABDUCTION,6129
RAPE,6410
