Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19329
CRUELTY BY HUSBAND OR RELATIVES,18188
DOWRY DEATH,2317
IMMORAL TRAFFIC(PREVENTION)ACT,23221
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,278
INSULT TO THE MODESTY OF WOMEN,10043
KIDNAPPING & ABDUCTION,12436
RAPE,6952
