Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,30853
CRUELTY BY HUSBAND OR RELATIVES,100101
DOWRY DEATH,5066
IMMORAL TRAFFIC(PREVENTION)ACT,998
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1075
INSULT TO THE MODESTY OF WOMEN,354
KIDNAPPING & ABDUCTION,24671
RAPE,15798
