Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,8998
CRUELTY BY HUSBAND OR RELATIVES,59431
DOWRY DEATH,502
IMMORAL TRAFFIC(PREVENTION)ACT,635
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,18
INSULT TO THE MODESTY OF WOMEN,1365
KIDNAPPING & ABDUCTION,12918
RAPE,4249
