Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,613
CRUELTY BY HUSBAND OR RELATIVES,105
DOWRY DEATH,26
IMMORAL TRAFFIC(PREVENTION)ACT,131
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
INSULT TO THE MODESTY OF WOMEN,284
KIDNAPPING & ABDUCTION,121
RAPE,77
