Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,816
CRUELTY BY HUSBAND OR RELATIVES,54
DOWRY DEATH,4
IMMORAL TRAFFIC(PREVENTION)ACT,18
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
INSULT TO THE MODESTY OF WOMEN,6
KIDNAPPING & ABDUCTION,10
RAPE,826
