Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,15
CRUELTY BY HUSBAND OR RELATIVES,35
DOWRY DEATH,3
IMMORAL TRAFFIC(PREVENTION)ACT,39
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
INSULT TO THE MODESTY OF WOMEN,2
KIDNAPPING & ABDUCTION,15
RAPE,20
