Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,50
CRUELTY BY HUSBAND OR RELATIVES,38
DOWRY DEATH,1
IMMORAL TRAFFIC(PREVENTION)ACT,11
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
INSULT TO THE MODESTY OF WOMEN,4
KIDNAPPING & ABDUCTION,94
RAPE,56
