Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,29698
CRUELTY BY HUSBAND OR RELATIVES,77617
DOWRY DEATH,23824
IMMORAL TRAFFIC(PREVENTION)ACT,502
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,8
INSULT TO THE MODESTY OF WOMEN,26511
KIDNAPPING & ABDUCTION,47590
RAPE,19058
