Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,314
CRUELTY BY HUSBAND OR RELATIVES,807
DOWRY DEATH,42
IMMORAL TRAFFIC(PREVENTION)ACT,51
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2
INSULT TO THE MODESTY OF WOMEN,143
KIDNAPPING & ABDUCTION,534
RAPE,281
