Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7576
CRUELTY BY HUSBAND OR RELATIVES,25680
DOWRY DEATH,13548
IMMORAL TRAFFIC(PREVENTION)ACT,301
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,10
INSULT TO THE MODESTY OF WOMEN,226
KIDNAPPING & ABDUCTION,19389
RAPE,13124
