Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,328
CRUELTY BY HUSBAND OR RELATIVES,191
DOWRY DEATH,19
IMMORAL TRAFFIC(PREVENTION)ACT,291
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,4
INSULT TO THE MODESTY OF WOMEN,123
KIDNAPPING & ABDUCTION,164
RAPE,350
