Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,23699
CRUELTY BY HUSBAND OR RELATIVES,30052
DOWRY DEATH,2918
IMMORAL TRAFFIC(PREVENTION)ACT,9687
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,3
INSULT TO THE MODESTY OF WOMEN,831
KIDNAPPING & ABDUCTION,5315
RAPE,5174
