Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,504
CRUELTY BY HUSBAND OR RELATIVES,219
DOWRY DEATH,2
IMMORAL TRAFFIC(PREVENTION)ACT,26
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
INSULT TO THE MODESTY OF WOMEN,3
KIDNAPPING & ABDUCTION,1057
RAPE,387
