Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3597
CRUELTY BY HUSBAND OR RELATIVES,3245
DOWRY DEATH,55
IMMORAL TRAFFIC(PREVENTION)ACT,31
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2
INSULT TO THE MODESTY OF WOMEN,439
KIDNAPPING & ABDUCTION,1541
RAPE,1804
