Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3985
CRUELTY BY HUSBAND OR RELATIVES,8409
DOWRY DEATH,3291
IMMORAL TRAFFIC(PREVENTION)ACT,102
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,10
INSULT TO THE MODESTY OF WOMEN,247
KIDNAPPING & ABDUCTION,5282
RAPE,9159
