Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,96
CRUELTY BY HUSBAND OR RELATIVES,9
DOWRY DEATH,0
IMMORAL TRAFFIC(PREVENTION)ACT,39
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
INSULT TO THE MODESTY OF WOMEN,10
KIDNAPPING & ABDUCTION,71
RAPE,220
