Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,31490
CRUELTY BY HUSBAND OR RELATIVES,46074
DOWRY DEATH,301
IMMORAL TRAFFIC(PREVENTION)ACT,2423
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,417
INSULT TO THE MODESTY OF WOMEN,3304
KIDNAPPING & ABDUCTION,1898
RAPE,7447
