Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4047
CRUELTY BY HUSBAND OR RELATIVES,11998
DOWRY DEATH,1546
IMMORAL TRAFFIC(PREVENTION)ACT,623
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,13
INSULT TO THE MODESTY OF WOMEN,762
KIDNAPPING & ABDUCTION,5385
RAPE,5459
