Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,532
CRUELTY BY HUSBAND OR RELATIVES,165
DOWRY DEATH,15
IMMORAL TRAFFIC(PREVENTION)ACT,20
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
INSULT TO THE MODESTY OF WOMEN,8
KIDNAPPING & ABDUCTION,264
RAPE,1020
