Crime Type,Value
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,214
CRUELTY BY HUSBAND OR RELATIVES,121
DOWRY DEATH,6
IMMORAL TRAFFIC(PREVENTION)ACT,10
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
INSULT TO THE MODESTY OF WOMEN,43
KIDNAPPING & ABDUCTION,77
RAPE,109
