Age Group,Total jobseeker Registration,Percentage_of_Total
15-18,6577911,25.363964121188644
25-34,13710110,52.86522394990592
35-44,4016767,15.488372231119351
45-54,1227644,4.73370928393414
55-64,301772,1.1636116969018488
65 & Above,99877,0.3851187169501013
