State,Count
Uttar Pradesh,401787
Maharashtra,374038
Delhi,300429
Madhya Pradesh,298578
Rajasthan,236090
Kerala,235858
Bihar,211079
Tamil Nadu,193913
Andhra Pradesh,158547
West Bengal,156503
