State,HigherSecondaryPercent
Meghalaya,11.886347781820923
Bihar,14.07003418730604
Assam,14.97112907548576
Nagaland,19.139670141327866
Odisha,19.613469491096293
Uttar Pradesh,19.759443087984412
Jharkhand,19.8860758174016
Mizoram,20.588515100732536
Arunachal Pradesh,20.63866488684087
Gujarat,21.32640578854653
