State,SecondaryPercent
Sikkim,50.44889954238396
Chandigarh,45.6445157793805
Andaman and Nicobar Islands,45.48605761824064
Puducherry,43.12005721016322
Delhi,41.33963737510189
Tamil Nadu,40.32158142852712
Kerala,40.06411287727653
Himachal Pradesh,39.27980936236939
Maharashtra,39.05406833706888
Goa,38.6186097102739
