Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,19634,42.78492046197429
-  Primary (1 to 5),45890,100.0
-  Upper Primary (1 to 8),29469,64.21660492482022
-  Secondary (9 - 10),23151,50.44889954238396
-  Higher Secondary (11 - 12),17819,38.82981041621269
