Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,568172,22.852661046399383
-  Primary (1 to 5),2486240,100.0
-  Upper Primary (1 to 8),1501003,60.37240974322672
-  Secondary (9 - 10),996090,40.06411287727653
-  Higher Secondary (11 - 12),871615,35.0575567925864
