Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,77391,2.077726198475996
-  Primary (1 to 5),3724793,100.0
-  Upper Primary (1 to 8),2169034,58.232336669447136
-  Secondary (9 - 10),1341250,36.00871243046258
-  Higher Secondary (11 - 12),932179,25.02633032224878
