Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,395249,35.70671007794517
-  Primary (1 to 5),1106932,100.0
-  Upper Primary (1 to 8),577505,52.17167811572888
-  Secondary (9 - 10),344485,31.12070118128304
-  Higher Secondary (11 - 12),294473,26.60262780369526
