Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,443388,12.163068533915553
-  Primary (1 to 5),3645363,100.0
-  Upper Primary (1 to 8),1905775,52.279430059503
-  Secondary (9 - 10),1004682,27.56054746811223
-  Higher Secondary (11 - 12),545752,14.971129075485761
