Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,76621,43.056390660560254
-  Primary (1 to 5),177955,100.0
-  Upper Primary (1 to 8),96439,54.192913938917144
-  Secondary (9 - 10),58721,32.99766794976258
-  Higher Secondary (11 - 12),34060,19.139670141327862
