Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,227967,8.466700067929105
-  Primary (1 to 5),2692513,100.0
-  Upper Primary (1 to 8),1486418,55.20560160712316
-  Secondary (9 - 10),840172,31.204009042853276
-  Higher Secondary (11 - 12),745127,27.67403537141696
