Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,29683,9.501661342262114
-  Primary (1 to 5),312398,100.0
-  Upper Primary (1 to 8),179559,57.477640701925104
-  Secondary (9 - 10),110536,35.38306903373261
-  Higher Secondary (11 - 12),81686,26.14805472506226
