Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,265028,4.8573501170955895
-  Primary (1 to 5),5456226,100.0
-  Upper Primary (1 to 8),3196946,58.59262427912627
-  Secondary (9 - 10),1970316,36.111334097964416
-  Higher Secondary (11 - 12),1203865,22.064060396325225
