Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,49376,1.4030648852152776
-  Primary (1 to 5),3519153,100.0
-  Upper Primary (1 to 8),2071755,58.87084193270369
-  Secondary (9 - 10),1246381,35.41707336964321
-  Higher Secondary (11 - 12),690228,19.613469491096293
