Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,6885,26.517485749499308
-  Primary (1 to 5),25964,100.0
-  Upper Primary (1 to 8),17719,68.24449237405639
-  Secondary (9 - 10),11810,45.486057618240636
-  Higher Secondary (11 - 12),11483,44.226621475889694
