Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,32567,23.832592993728458
-  Primary (1 to 5),136649,100.0
-  Upper Primary (1 to 8),71949,52.65241604402521
-  Secondary (9 - 10),40605,29.714816793390362
-  Higher Secondary (11 - 12),28134,20.588515100732536
