Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,407034,1.6831664539451552
-  Primary (1 to 5),24182635,100.0
-  Upper Primary (1 to 8),11590094,47.927341251273894
-  Secondary (9 - 10),6223321,25.734668699254655
-  Higher Secondary (11 - 12),4778354,19.759443087984415
