Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,26076,15.894088174520451
-  Primary (1 to 5),164061,100.0
-  Upper Primary (1 to 8),84930,51.76733044416406
-  Secondary (9 - 10),45455,27.706158075350025
-  Higher Secondary (11 - 12),33860,20.63866488684087
