Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,61723,19.90916802946878
-  Primary (1 to 5),310023,100.0
-  Upper Primary (1 to 8),150863,48.66187347390355
-  Secondary (9 - 10),91005,29.35427371517597
-  Higher Secondary (11 - 12),79580,25.669063263048226
