Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,22059,22.990578229874515
-  Primary (1 to 5),95948,100.0
-  Upper Primary (1 to 8),64102,66.80910493183808
-  Secondary (9 - 10),43795,45.6445157793805
-  Higher Secondary (11 - 12),42723,44.52724392379206
