Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,525861,5.497578178505457
-  Primary (1 to 5),9565321,100.0
-  Upper Primary (1 to 8),5855597,61.21694190921559
-  Secondary (9 - 10),3735647,39.05406833706888
-  Higher Secondary (11 - 12),2904269,30.36248339182762
