Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,151592,4.984417939853708
-  Primary (1 to 5),3041318,100.0
-  Upper Primary (1 to 8),1801218,59.22491498751528
-  Secondary (9 - 10),1118377,36.77277417225032
-  Higher Secondary (11 - 12),802736,26.394346135458374
