Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,1582,29.32344763670065
-  Primary (1 to 5),5395,100.0
-  Upper Primary (1 to 8),2813,52.140871177015754
-  Secondary (9 - 10),1873,34.717330861909176
-  Higher Secondary (11 - 12),1923,35.644114921223355
