Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,94158,8.866986723721954
-  Primary (1 to 5),1061894,100.0
-  Upper Primary (1 to 8),595782,56.10559999397303
-  Secondary (9 - 10),365696,34.43808892412991
-  Higher Secondary (11 - 12),332396,31.302182703735028
