Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,164691,3.057085419300229
-  Primary (1 to 5),5387190,100.0
-  Upper Primary (1 to 8),3090985,57.376572944336466
-  Secondary (9 - 10),1750516,32.494046061119064
-  Higher Secondary (11 - 12),1148894,21.326405788546534
