Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,795454,34.223423254429186
-  Primary (1 to 5),2324297,100.0
-  Upper Primary (1 to 8),1374962,59.1560372878337
-  Secondary (9 - 10),867890,37.33989244920077
-  Higher Secondary (11 - 12),784897,33.769221403288824
