Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,741979,10.084814055638489
-  Primary (1 to 5),7357389,100.0
-  Upper Primary (1 to 8),4224219,57.41464804973613
-  Secondary (9 - 10),2196508,29.85444972394419
-  Higher Secondary (11 - 12),1649170,22.415152984299187
