Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,214782,40.495107373819266
-  Primary (1 to 5),530390,100.0
-  Upper Primary (1 to 8),244008,46.00539225852675
-  Secondary (9 - 10),117496,22.15275551952337
-  Higher Secondary (11 - 12),63044,11.886347781820925
