Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,253625,14.45626214782009
-  Primary (1 to 5),1754430,100.0
-  Upper Primary (1 to 8),1190775,67.87247140096784
-  Secondary (9 - 10),725275,41.33963737510189
-  Higher Secondary (11 - 12),648002,36.935186926808136
