Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,243645,9.44630673425189
-  Primary (1 to 5),2579262,100.0
-  Upper Primary (1 to 8),1480339,57.39389794445078
-  Secondary (9 - 10),952143,36.91532694235793
-  Higher Secondary (11 - 12),780290,30.25245205799178
