Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,104874,19.033635636024414
-  Primary (1 to 5),550993,100.0
-  Upper Primary (1 to 8),342695,62.195889965934235
-  Secondary (9 - 10),216429,39.27980936236939
-  Higher Secondary (11 - 12),222031,40.29651919352877
