State,Count
Chandigarh,2941
Meghalaya,2914
Goa,2711
Arunachal Pradesh,2308
Dadra and Nagar Haveli and Daman and Diu,1184
Nagaland,1008
Sikkim,549
Andaman and Nicobar Islands,460
Ladakh,439
Lakshadweep,64
