State,Count
Manipur,2484
Mizoram,2467
Chandigarh,2401
Goa,2099
Nagaland,1033
Sikkim,532
Ladakh,519
Dadra and Nagar Haveli and Daman and Diu,490
Andaman and Nicobar Islands,386
Lakshadweep,89
