Crime,Count
IMMORAL TRAFFIC(PREVENTION)ACT,39
CRUELTY BY HUSBAND OR RELATIVES,35
RAPE,20
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,15
KIDNAPPING & ABDUCTION,15
DOWRY DEATH,3
INSULT TO THE MODESTY OF WOMEN,2
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
