Crime,Count
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,214
CRUELTY BY HUSBAND OR RELATIVES,121
RAPE,109
KIDNAPPING & ABDUCTION,77
INSULT TO THE MODESTY OF WOMEN,43
IMMORAL TRAFFIC(PREVENTION)ACT,10
DOWRY DEATH,6
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
