CRIME HEAD,2013
Total Crimes against Children,1475
Kidnapping & Abduction of Children,506
Rape of Children,505
"Prohibition of Child Marriage Act, 2006",182
Other Crimes against Children,173
Other Murder of Children,103
Infanticide,4
Exposure and Abandonment,1
Abetment of Suicide,1
Foeticide,0
